ID	RT	Mass	R7S1	R7S2	R7S3	R7S4	R7S5	R7S6	R7S7	R7S8	R7S9	R7S10	R7S11	R7S12	R7S13	R7S14	R7S15	R8S1	R8S2	R8S3	R8S4	R8S5	R8S6	R8S7	R8S8	R8S9	R8S10	R8S11	R8S12	R8S13	R8S14	R8S15	R9S1	R9S2	R9S3	R9S4	R9S5	R9S6	R9S7	R9S8	R9S9	R9S10	R9S11	R9S12	R9S13	R9S14	R9S15
52	9,3495	74,0231	0,3001	0,50295	0	0,27505	0,2496	0,11425	0,7094	0,501	0,27885	0	0,4659	0,63355	0,05365	0,2719	0	1,06465	0	0	0	0	0,21665	0,5715	0,36635	0,102	0,4437	0,29245	0,1031	0,1164	0	0,13295	0,49665	0	0	0,27985	0,1837	0,31805	0,6916	0,2673	0,3568	0,8127	0,7081	0,2352	0,31185	0	0,2564
53	9,4113	74,0255	0	0	0	0	0	0	0	0	0	0,33945	0	0	0,0533	0	0,21865	0,62065	0	0	0	0,31895	0,3545	0	0	0	0	0	0,2228	0	0,2745	0	0	0	0	0,4874	0,28775	0	0,7581	0	0	0	0	0	0	0,1321	0
55	1,5322	74,0346	0,49585	0,45605	0,6489	0,42595	0,97735	0,6533	0	0	0	0,67465	0,717	0,98485	0,96645	0,54645	0,82105	0,5492	0,3755	0	1,17135	1,25015	0,67805	0,47335	0,3497	0,88895	1,08645	0,59105	0,9461	0,53445	0,55155	0,48955	0	1,6382	0	0,7012	0,9973	0,57055	0,5891	0	0	0,52965	0	0	0	1,2111	0
56	1,4714	75,0093	7,6962	8,1604	9,1299	6,9716	8,81415	6,61695	8,24075	8,1068	8,29075	8,0076	8,24685	8,94825	9,88685	8,1126	7,58545	9,987	0	10,0487	7,79165	9,11725	8,97425	9,5557	7,984	4,78885	7,42135	8,3619	9,7034	7,46395	10,0409	7,042	8,4237	10,0364	9,7876	8,1794	8,68745	7,81165	9,47685	7,3578	9,46835	9,2766	8,93035	8,0125	6,73635	8,86775	8,234
57	2,2448	75,0093	6,80245	6,03195	2,57305	6,3918	7,03495	6,16635	6,4672	6,06525	7,829	2,5693	2,1747	7,06605	4,1302	5,28425	2,26175	2,6071	0	2,9168	6,57345	2,64235	2,79785	2,81735	7,67115	4,66965	7,27725	2,6997	4,2406	6,3216	3,17255	4,80715	6,2894	0	3,36855	2,76115	2,7856	5,9903	6,9622	6,0714	9,7118	6,54405	6,03125	6,4198	5,5219	2,77385	5,42565
58	1,0479	75,0094	1,2539	17,22955	1,18865	1,7393	1,0396	6,87435	0	8,4404	1,52095	6,82545	3,29985	2,09425	2,28675	0,8611	1,00745	0,60645	7,5091	2,44135	0,60835	1,40355	9,40665	1,4286	0,7615	8,30985	0,96225	1,36375	3,54085	1,4086	1,49675	9,51045	1,6094	4,2239	1,75055	9,148	1,1898	9,6598	8,42015	1,8117	1,39665	0,6792	9,66	1,52865	1,6215	1,21375	0,5189
59	1,2618	75,0095	0,89795	1,01135	0,8025	1,0032	1,3324	0,94785	1,0939	0,95685	1,1489	0,90745	0,4219	1,2622	2,0324	1,33635	1,03645	1,36085	0	0,93385	0,99895	1,31215	1,09925	1,4067	1,13875	0,52655	1,14225	1,1882	2,42375	0,5188	1,2658	0,8948	0,93215	1,0961	1,14035	0,98945	1,4469	1,06705	1,33555	0,91865	1,75255	1,2587	1,5527	0,9333	0,509	1,21585	1,06945
60	2,3287	75,0098	0	0	3,7981	0	0	0	0	0	0	3,5151	3,33035	0	5,64425	0	3,18315	3,83535	0,1469	3,5617	3,9369	4,14955	3,5819	3,60475	0	0	0	3,69105	5,6864	0	3,80275	0	0	8,5741	4,015	3,80805	3,77645	0	0	0	0	0	0	0	0	3,28135	0
61	3,6292	77,0402	1,5727	3,6152	1,7653	3,5539	3,377	3,4138	3,3893	3,35405	1,6328	1,4738	0	3,19075	1,2567	2,08885	1,6155	1,36035	0	1,64915	1,6555	1,3215	1,9353	1,25845	3,7474	2,35075	3,6023	1,7211	0	1,65325	1,6407	3,1528	3,46045	0	1,8273	1,7232	1,91515	3,5576	3,7666	3,00255	3,53445	3,6666	3,91655	1,45745	1,65565	1,7028	1,6037
62	4,6475	77,0403	1,79675	2,0202	0,92775	1,5056	1,49545	1,62265	1,6863	1,7481	1,7484	0,68825	0,7436	1,6801	0	1,43055	0,4412	0,67095	0	0,95205	0,64405	0,7058	0,92715	0,65005	1,7501	1,01335	1,54485	0,5989	0,8325	1,4492	0,77315	1,177	1,6788	0	0,81495	0,58715	0,6471	1,92215	1,76805	1,36525	1,7837	1,8061	1,80825	1,52305	1,25055	0,5457	1,45265
63	3,7834	77,0404	1,7925	0	1,2686	0	0	0	0	0	1,6503	1,58125	0	0	1,73505	2,02205	1,68875	1,67075	3,2214	1,14625	1,4857	1,32715	3,41275	1,734	0	1,5278	0	1,59975	0	1,97595	1,45105	0	0	0	1,5917	1,38445	1,49315	0	0	0	0	0	0	1,91165	1,737	1,791	1,7665
64	4,7493	77,0406	0,90945	0	0,9495	0	0	0	0	0	0,85055	0,8907	1,07895	0	0,9672	0,74885	0,6623	0,84405	1,6827	1,0223	0,9635	0,83	0,92165	1,041	0	0	0	1,0776	1,00595	0,79235	0,80015	0	0	1,699	0,8557	0,8535	0,8083	0	0	0	0	0	0	0,88945	0	0,6752	0,73875
65	1,6594	78,9599	2,4998	2,36575	2,8402	2,20835	3,13415	0,57585	2,8781	2,44865	2,5136	2,50975	0	2,75455	2,46125	3,2234	2,4749	2,356	2,5971	2,75105	2,28405	2,0425	2,6361	2,8588	3,86985	1,24155	2,658	2,35875	0	3,0349	2,3358	2,20335	2,4872	0	3,05015	3,0921	2,7907	2,01565	3,6629	2,3969	3,24555	3,3902	2,68985	2,1756	2,25785	2,34475	3,42855
