ID	m/z	1790_NEG_D4	1789_NEG_D4	1788_NEG_D4	1787_NEG_C1	1786_NEG_C1	1785_NEG_C2	1784_NEG_D4	1783_NEG_D4	1782_NEG_D4	1781_NEG_C2	1780_NEG_unknown	1779_NEG_C2	1778_NEG_C2	1777_NEG_D4	1776_NEG_D4	1775_NEG_C1	1774_NEG_C2	1773_NEG_C2	1772_NEG_D4	1771_NEG_D4	1770_NEG_C1	1769_NEG_C2	1768_NEG_C2	1767_NEG_C1	1765_NEG_D3	1764_NEG_D4	1763_NEG_D4	1762_NEG_D4	1760_NEG_D4	1759_NEG_D4	1758_NEG_D4	1757_NEG_D4	1756_NEG_C1	1755_NEG_D4	1754_NEG_D3	1753_NEG_C1	1752_NEG_C1	1751_NEG_D3	1750_NEG_D4	1749_NEG_D4	1748_NEG_D4	1747_NEG_D4	1746_NEG_C1	1745_NEG_D4	1744_NEG_D4	1743_NEG_D4	1742_NEG_C1	1741_NEG_D4	1740_NEG_C2	1739_NEG_D4	1738_NEG_C1
12202	424.1361036	49449255	18317056	34991699	9174992.6	14679908	20991279	19497234	6771067.9	27864698	17236451	58035768	30436927	36449388	16862266	32503023	5783639.1	38754407	18088942	26734802	19393417	11652995	42109161	27246344	16075457	49927651	36579191	24519281	21228909	19600602	36489908	35637053	90939835	19620170	15141495	74160463	10591823	26364248	58393009	51713911	29490679	42025616	9616312.1	12441715	0	37503327	11361518	55792639	36140451	31014708	10103157	68633892
12204	424.1459383	0	0	0	0	0	0	0	0	0	0	12328512	0	0	0	0	0	0	11189240	0	12244883	0	0	13796111	0	0	0	5668729.5	0	0	0	0	0	0	0	19254614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12205	424.1515467	0	7281164.9	0	9526751.4	5565291.3	0	6580512	0	0	0	6970693.6	0	0	0	5634299	0	9889394.8	0	9732829.3	0	0	0	0	0	0	0	0	9167223.1	0	21777090	0	18468297	5374807.8	0	0	5842519.3	18378084	0	0	8025091.3	0	0	0	0	12056941	0	0	8258476.4	0	0	18806064
12206	424.1613094	0	6136341.1	0	0	0	0	0	0	5563535	0	9118797.9	0	7439235.8	0	7328514.7	0	8717434.2	0	0	0	0	0	0	5158362.1	0	0	7913093.9	0	0	6142155.8	10404689	0	0	0	15343970	0	8217964.1	7856069.1	9862539.7	0	0	9628623.1	0	0	0	12009730	0	0	0	0	0
12207	424.1693675	0	10976540	7973483.4	6793711.9	5320051.3	6494537.2	0	0	7812757.7	7084044.7	9241173.2	0	0	5906502.8	7381257.1	0	0	5704720.9	10479338	0	0	5951240.3	5427487.6	0	0	7734930.9	9552524.6	0	0	9409235.4	7063894.7	11712985	0	10529424	22754664	4936800.4	13508979	0	7221138.3	6124049.6	0	6237654.2	0	0	0	0	0	0	5762635.9	0	15723838
12208	424.1976689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6059683.6	5272468.7	0	0	6737772.8	0	0	0	0	0	0	0	7956393.4	0	5673132.7	0	0	0	14733718	236611870	0	0	0	9146266.7	5726035.8
12209	424.2088722	7781228	0	14300809	0	5045893.5	0	0	0	0	0	0	0	0	0	8641831.9	0	7735453.7	10370617	0	0	0	0	0	0	0	0	0	0	0	9702136.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14301231	0	0	0	6894428.4
12220	424.856538	0	0	0	29398643	0	6854242.1	22851519	0	0	0	0	0	0	0	7354650.9	0	0	0	0	0	0	0	0	0	0	6135764.7	0	0	0	0	0	0	13071317	0	0	0	0	0	0	0	0	6157376.5	0	0	18963421	0	0	11957082	5549365.5	0	0
12222	424.8731283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7349543.4	0	0	0	0	0	0	0	0	0	0	0	11304137	13254465	0	0	0	0	0	0	0	0	0	0	0	5827135.6	9655779	0	0	0	0	0	0	5709668.2	0	0	0
12225	424.927925	0	0	0	0	0	0	7975938.3	44128830	0	0	0	0	0	0	0	20456751	0	0	0	0	0	0	0	11381193	0	0	0	0	0	0	5839267	0	0	0	0	0	0	0	0	10241130	0	6984832.2	0	0	0	0	0	6264197.1	0	0	0
12226	424.9417912	0	14326166	9814181.1	6515650.4	7603407.3	5178532.1	0	0	16003338	7360460.2	0	0	0	0	0	0	6001080.3	0	9815327.4	0	0	0	10754376	5206998.5	0	22821403	0	0	0	0	0	0	0	0	0	0	6347233.4	0	0	5490549.3	6105857.9	7126668.5	0	0	0	0	0	0	5762930.4	0	0
12227	424.9512457	0	0	0	0	0	0	0	0	7406354	0	0	0	0	0	0	0	6576831.3	0	5914150.5	0	0	8375256.8	0	5907935.6	0	13800995	0	0	0	0	0	0	5407017.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12228	424.9770025	18413634	5621938.2	0	0	0	9692095.4	0	0	0	0	18752799	0	0	0	11195254	0	0	5761864.8	12212537	16382624	0	0	0	0	0	10898488	6738715.8	7999873.6	0	44019139	6461384.3	23790766	0	0	0	0	5800445.3	0	7346719.1	0	6254097.8	0	0	0	6711366	0	0	0	10218891	0	11275693
12229	425.013524	0	13578704	26435801	0	0	5477851.6	0	0	5552964.1	6430244.5	6202687.2	27124070	12669863	0	0	0	0	26553197	0	0	0	6554642.1	16619898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6718125.3	6927906.1	13093580	0	0	0	0	0	6186936.7	0	0	0
